x0 sin floor,x0
-0.9214511082374107,-0.4390261855397575
-1.1332878979191756,-0.7340204954714358
-1.1528701414911489,4.834874572686107
0,-4.972693033373323
-1.1093877030965562,-1.5372823329230196
-0.9246217648735576,-8.875542454777797
-0.9258322130586313,-0.47578047790973715
0,-4.852857450011941
0,-3.403559560213532
0,4.925988757316902
-1.0420569674654234,-7.370412573611041
0,-6.427798655434332
0,0.05257695886095156
-1.0279162786768212,-6.039296476287301
0,9.548775372747794
0,0.7866260862947505
-0.9117770888546185,-7.988894128180515
0,-4.136543065093362
-1.0674590082397764,3.5614307638503107
0,-3.337683558648802
-1.0948840868828642,-7.081459784503071
-0.8593197037818487,-6.484634021215262
-0.9617428101944329,-8.612513471667459
0,-4.309149644548043
-1.0234927463043435,-0.5874905706435626
0,9.288404073853567
0,0.5518768562597316
0,-6.07813727787661
0,7.79443162072491
-0.9402529013318691,-7.06867522784997
-0.8067408402980473,-0.9403479250608632
-1.1293502364690418,-0.032348483784827194
-0.8813029279058628,-7.674746438943804
0,6.878107656826864
-0.9060249755241228,3.627046990292929
0,0.9639219744074662
0,-4.631506179603443
-1.0660498144182682,-0.7640954009332188
-1.0319324395805463,4.474478089776197
-0.8946818571334888,-6.529084292394432
-0.9583893412680258,-6.957303334911845
-0.9451178699498864,9.497947622176923
-1.0339308852639153,-8.761028277917564
-0.9753574968888087,-0.23553569150881398
-0.9379556015105754,-6.9994196812380824
-0.8524468017615183,6.035568529630185
-0.9376018557130753,6.988496114279403
0,-4.713422163056424
-0.968230001228176,-3.085173738086285
0,2.6725189349799283
0,6.320837235709423
0,0.32657321585507076
0,6.90610529720631
-1.0490602314233526,-0.9055968692829797
0,6.057761019657969
-0.9926286406898914,-8.036125622111658
-0.8889594095891193,-0.36964798561678697
0,2.127264980387086
-1.0180951926833919,3.861748077121686
-1.011954902492414,-1.8936982901556414
-1.2258390988935122,-8.128046974332573
-1.0208848262278565,-1.6775455982208465
-1.0970082052459496,-1.0001886357461174
-1.0460983193654607,-1.4551431541027422
0,-6.373957382197453
-0.9681771960436538,-6.981781239932983
0,7.188574252133158
0,8.313239683391455
0,2.6575973147114316
0,-5.883429392087345
0,2.1029073156122378
-0.9435050144465228,-1.0332409789419945
-0.9859975957218279,-7.101337138531486
-1.1952933560029053,-9.758779570476396
-1.0613378906164366,-8.304550145888369
-1.2613100925056613,4.701863253420552
0,7.27896882973748
0,2.1969095283345355
-1.028156109277332,6.731715312157364
-0.983371767495806,3.549330977369349
-1.0529701401346008,-1.4934666956368596
-1.236665818517182,4.790585605834499
-0.898379306728217,4.2598866534809865
0,-3.8189256452761433
-0.964188424086208,-0.30558659607193916
-0.9340031126853456,-8.124007368990943
0,-5.071496111310536
-0.9348308004466975,12.314687833778828
-0.9964855707280194,3.9322053221027664
-0.9383239469290385,9.568553456935895
0,2.207856292457573
-0.9472329900596677,9.893077238616112
-1.0904232326158048,6.197087139600541
0,-5.818946508383456
0,7.784400393504977
0,-4.54942041943692
0,1.187824015504352
0,6.438362506743352
-1.055541185669846,-1.3435728032612593
0,6.989909517793453
