5.0531268949197425 x1 * atan cos floor x2 cos x2 log + floor acos +,x0,x1,x2
0,8.893523082441494,-1.0384663822438134,9.786677915720336
0,-8.872129501519952,3.8323406263151814,8.38981942385347
1.79028444315413,-8.820302000453617,-4.543624909173964,1.617128496119947
1.642217325640905,9.099376985283142,-4.019683996469592,3.275614299656133
1.4335215216027657,-4.271981108621301,-2.046346169347346,4.648342566107193
0,-4.8083353214795315,1.179812514814808,7.005520905537877
1.7013421707011445,-1.6903780561311874,2.9215327622931864,1.9147294805837054
1.2053153925981153,1.417267366058557,4.517810516973252,4.402483562584273
0,-5.818178243578596,2.675413019164557,4.048468860356601
1.635201885400089,4.4816197554167125,-6.8144296083408396,0.6051148835862499
1.521930452679901,5.75941774368984,2.6274892439170685,1.3594930855639038
0,-4.523603729832214,-1.3043300773074045,5.0255087138276275
0,-6.790239499017443,9.261287300171874,4.882388206812507
1.670664843296194,-3.3540917287169805,-9.793304168902395,1.7889155535237273
1.5424505797667072,-2.496472176390256,4.602824428727598,4.2753893778953005
1.6093888865847408,6.241561515428014,1.3473191026884117,1.5759580033889187
1.3820836419021383,2.3691664672413184,-7.647125728980771,3.1497235969169544
0,-3.0614287514982075,6.316073862914966,4.757263822847917
0,8.280075564242592,-3.055403243926374,4.790800212967754
1.6049652960986955,-10.801081574294669,7.768173448826263,1.5476111715247058
1.296039776202942,2.0007593855687875,4.676831669827956,3.2036118304044736
1.9695290337987281,-6.533888188061761,-0.4947654447657135,4.6570392881165015
1.637593472679659,-4.723664540855742,2.1719065866122054,0.785406658077213
0,-8.058427326946816,-0.29131263937956453,4.3493799020055155
1.5387357919578477,-2.119010531624982,4.191382373849715,1.459058375696852
1.5584393749231462,0.1600138100405428,-10.564078437122248,1.9758290792305009
1.454723241213264,-4.6253833249426535,-8.931163489629274,0.9389793219415199
0,-10.366295886844526,-5.472229966859085,5.349701866127848
0,8.79734293388211,-0.7525436741729,10.160541558973144
1.4802522105515767,-0.7850300372938945,-4.2696914755485045,3.610478757753097
0,2.7215027816787027,-5.003062645550157,9.643863990555756
0,-3.840456106791885,7.682906876065714,7.717081353361906
0,-4.7953157534067135,-9.48865206801088,8.87757953348013
0,-9.929959070788607,6.717580836406874,8.969205652202225
0,6.579408105135624,3.4783531247170494,8.008579889112003
0,-5.855515216321129,3.5332023836336277,6.951379079089948
1.4233097740795737,-2.7787859373058845,-1.0378076043215156,2.3180259301609865
1.5675030954090388,7.5280521672909195,-1.1960353706044424,1.3656818609160561
1.509311126089096,8.067116370149334,2.4503922040550488,1.955370773072498
0,-8.907841386502085,-6.9676425955952865,4.57373592798134
0,-3.405951610619549,2.866215704901844,7.948402149986107
0,-2.6155828902314524,-0.7145273732167097,7.9704294722514515
1.6300977214542343,9.63574499184011,6.6410601135172085,3.7839413183939716
1.403665245829177,5.615118775986205,-8.583119329485543,1.4089452669171019
